username nume prenume medieInformatica medieRomana medieEngleza medieMatematica medieIstorie medieGeografie medieEconomie medieSport clasa 
popescumatei Popescu Matei 9 9 8 7 10 9 7 10 12A
mireadiana Mirea Diana 10 10 10 9 10 9 8 10 12A
popescuromeo Popescu Romeo 9 8 7 9 5 7 6 7 12A
ionescuana Ionescu Ana 6 5 6 5 8 6 7 11B
georgescucatalin Georgescu Catalin 7 6 7 8 5 9 6 10A
dumitracheandrei Dumitrache Andrei 5 7 5 9 6 9 5 9A
stanescuvasile Stanescu Vasile 6 5 6 5 9 5 5 10C
petrescumaria Petrescu Maria 9 8 9 7 7 6 9 10B
andronicalexandra Andronic Alexandra 9 8 5 8 7 5 9 9B
marinadumitru Marina Dumitru 5 9 9 7 7 5 6 11C
antonescuvlad Antonescu Vlad 6 6 6 8 7 7 6 11C
georgecarmen George Carmen 6 5 8 8 8 9 5 10A
predescucatalina Predescu Catalina 5 9 6 9 7 5 9 10C
mitroiioana Mitroi Ioana 9 5 8 9 7 6 5 10A
georgianadragos Georgianu Dragos 8 5 9 7 8 5 7 9A
iliescumarius Iliescu Marius 6 7 8 5 6 7 8 12B
davidelaraluca Davidela Raluca 8 5 9 6 5 7 7 10B
danandreea Dan Andreea 9 6 7 7 9 7 8 9C
ancadiana Ancadiana 7 8 6 5 9 8 7 11A
mihaiandrei Mihai Andrei 8 9 7 7 8 6 7 10B
andreeaandrei Andreea Andrei 9 7 7 5 8 6 9 9B
georgedavid George David 6 5 9 5 8 9 8 10A
marianmaria Marian Maria 7 9 6 6 9 7 8 12C
andreeaalexandru Andreea Alexandru 8 9 5 7 7 6 6 11A
ionelamaria Ionelamaria 6 9 5 6 8 6 9 10A
ionutandrei Ionut Andrei 7 9 6 9 7 5 6 12C
alexandrubogdan Alexandru Bogdan 7 9 7 9 6 9 6 12A
iliedragos Ilie Dragos 8 6 6 9 5 8 9 9C
ioneladavid Ioneladavid 8 5 6 7 7 8 7 10C
ionandrei Ion Andrei 6 8 5 9 7 7 5 10B
anaandreea Ana Andreea 9 5 6 6 5 6 8 11A
mariageorge Maria George 7 6 6 8 7 8 5 9C
stefaniageorge Stefania George 6 8 7 7 5 6 9 10C 
ionescugeorge Ionescu George 6 7 8 5 6 7 8 9A
petrealexandru Petre Alexandru 8 9 7 7 8 6 7 10B
georgeandrei George Andrei 9 7 7 5 8 6 9 9B
anaionescu Ana Ionescu 6 8 5 9 7 7 5 10C
andreeaionescu Andreea Ionescu 9 5 6 6 5 6 8 11A
dragosmarian Dragos Marian 7 6 6 8 7 8 5 9C
georgedan George Dan 8 6 6 9 5 8 9 9C
vasileandrei Vasile Andrei 8 5 6 7 7 8 7 10C
mariancristian Marian Cristian 6 9 6 7 7 5 6 12B
cristianmihai Cristian Mihai 5 7 5 9 6 9 5 9A
alinmarian Alin Marian 6 5 6 5 9 5 5 10A
alexandrumarian Alexandru Marian 7 6 7 8 5 9 6 10B
ionpopescu Ion Popescu 8 5 9 7 8 5 7 9C
marianaionescu Mariana Ionescu 9 8 5 8 7 5 9 11A
georgealin George Alin 7 9 7 9 6 9 6 12C
vladpetrescu Vlad Petrescu 8 6 6 9 5 8 9 9A
ionmarian Ion Marian 7 5 6 7 7 8 7 10A
marianadrian Marian Adrian 6 9 5 9 7 5 6 11B
mihaidan Mihai Dan 9 7 7 5 8 6 9 9A
mariandragos Marian Dragos 6 8 6 5 9 8 7 12C
danmarian Dan Marian 7 6 6 8 7 8 5 10B
adriangeorge Adrian George 8 7 7 9 8 6 8 11A
robertmihai Robert Mihai 9 5 6 7 7 9 5 12B
andreeageorge Andreea George 7 9 5 8 7 5 7 10A
adrianandrei Adrian Andrei 6 8 6 7 7 8 7 11B
georgeadrian George Adrian 7 5 6 8 7 8 5 10C
georgeion George Ion 9 8 5 7 7 9 6 12A
andreeamihai Andreea Mihai 8 6 6 9 5 8 9 11C
mihaimarian Mihai Marian 7 9 7 5 8 5 6 10A
andreiadrian Andrei Adrian 6 8 6 8 7 7 5 12A
marianvasile Marian Vasile 9 5 6 7 7 9 5 12A
danielmihai Daniel Mihai 7 9 5 8 7 5 7 10A
georgedumitru George Dumitru 8 6 6 9 5 8 9 11C
mariandaniel Marian Daniel 6 8 6 8 7 7 5 12A
andreiandrei Andrei Andrei 7 5 6 8 7 8 5 10C
cristianandrei Cristian Andrei 9 8 5 7 7 9 6 12A
mihailcristian Mihail Cristian 8 5 6 8 7 8 5 11B
dumitruvasile Dumitru Vasile 7 9 7 5 8 5 6 10A
